algorithm_name,env_n,size,best_solution,H,states,time
random,29,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,3000,0.031758
random,30,8,"[4, 6, 1, 5, 2, 5, 7, 3]",2,3000,0.048599
random,1,10,"[5, 7, 1, 3, 0, 9, 0, 8, 1, 4]",3,3000,0.064297
random,2,10,"[4, 2, 8, 3, 9, 6, 5, 2, 0, 7]",3,3000,0.059845
random,3,10,"[1, 8, 2, 7, 4, 2, 0, 6, 3, 5]",2,3000,0.053770
random,4,10,"[6, 7, 4, 1, 8, 0, 5, 3, 2, 9]",3,3000,0.052521
random,5,10,"[8, 4, 0, 0, 9, 5, 1, 2, 7, 3]",2,3000,0.053311
random,6,10,"[1, 8, 2, 7, 3, 0, 9, 1, 6, 2]",2,3000,0.052891
random,7,10,"[2, 6, 1, 9, 4, 7, 0, 8, 3, 5]",2,3000,0.050081
random,8,10,"[2, 6, 8, 3, 7, 9, 1, 8, 5, 3]",3,3000,0.048498
random,9,10,"[8, 8, 2, 9, 6, 3, 7, 0, 7, 5]",3,3000,0.049941
random,10,10,"[7, 4, 1, 9, 2, 6, 7, 3, 5, 0]",3,3000,0.050737
random,11,10,"[9, 4, 0, 5, 3, 7, 7, 3, 8, 2]",3,3000,0.051579
random,12,10,"[7, 5, 4, 6, 0, 2, 4, 1, 3, 8]",3,3000,0.051893
random,13,10,"[6, 9, 5, 2, 7, 3, 8, 8, 1, 4]",2,3000,0.051873
random,14,10,"[4, 8, 0, 3, 0, 7, 5, 1, 9, 6]",2,3000,0.052422
random,15,10,"[9, 2, 6, 1, 0, 8, 6, 4, 7, 3]",3,3000,0.052175
random,16,10,"[4, 9, 1, 5, 2, 0, 6, 8, 1, 3]",2,3000,0.054311
random,17,10,"[5, 9, 1, 4, 8, 8, 3, 9, 6, 0]",3,3000,0.068169
